Url,Price,Building Area,Land Area
https://www.lamudi.co.id/ayo-survey-perumahn-mewah-cluster-dua-lantai-165916653079.html,750000000,87,68
https://www.lamudi.co.id/segera-miliki-rumah-2-lantai-dekat-kampus-trisaksi-165959652646.html,1738000000,84,46
https://www.lamudi.co.id/rumah-baru-cleter-dsun-minimalis-clasik.html,862000000,66,40
https://www.lamudi.co.id/dijual-rumah-murah-dan-mewah-jalan-lebar-dekat-rag-166072453461.html,2700000000,200,118
https://www.lamudi.co.id/rumah-murah-mewah-dua-setengah-lantai-pulogadung-j-165934115738.html,975000000,90,40
https://www.lamudi.co.id/rumah-cluster-nyaman-asri-shm-dekat-tol-cibubur-165883905662.html,790000000,68,60
https://www.lamudi.co.id/millenium-cawang-residence-elegant-architecture-house.html,1700000000,115,72
https://www.lamudi.co.id/aparthouse-baru-2-lantai-di-cempaka-putih-tengah.html,1300000000,52,36
https://www.lamudi.co.id/dijual-rumah-murah-cilangkap-cvpayung-jakarta-timu-165943188773.html,550000000,50,57
https://www.lamudi.co.id/jual-rumah-nyaman-aman-dan-strategis.html,2100000000,200,105
https://www.lamudi.co.id/dijual-rumah-mewah-diapit-2-akses-tol-cibubur-depo-165884081920.html,790000000,70,60
https://www.lamudi.co.id/rumah-mewah-tebet-timur-dalam-jakarta-165958837759.html,12000000000,450,225
https://www.lamudi.co.id/rumah-murah-di-kemayoran-166001667170.html,494300000,42,27
https://www.lamudi.co.id/rumah-mewah-modern-siap-huni-dekat-tol-andara-jakarta-selatan.html,5500000000,380,160
https://www.lamudi.co.id/rumah-dijual-jakarta-utara-165994578345.html,700000000,54,45
https://www.lamudi.co.id/rumah-cluster-shm-cicilan-ringan-dp-suka-suka-deka-165883966145.html,795000000,68,65
https://www.lamudi.co.id/rumah-dijual-di-otista-nego-sampai-jadi.html,9000000000,600,400
https://www.lamudi.co.id/rumah-baru-mewah-harga-500jt-an-di-gang-mandor-vi-165952850891.html,540000000,48,26
https://www.lamudi.co.id/dijual-kost-bagus-full-beroperasi-di-kelapa-gading-jakarta-utara-strategis.html,3750000000,250,102
https://www.lamudi.co.id/segera-hadir-hunian-tipe-cluster-di-daerah-johar-b-165961324626.html,415000000,40,20
https://www.lamudi.co.id/rumah-2-lantai-dekat-mrt-lebak-bulus-dan-busway.html,994000000,90,105
https://www.lamudi.co.id/for-sale-townhouse-royalton-residence-kemayoran-166028923511.html,8500000000,335,200
https://www.lamudi.co.id/rumah-rawamangun-tenang-nyaman-aman-dan-bebas-banjir.html,3000000000,155,140
https://www.lamudi.co.id/rumah-baru-jagakarsa-2.html,2200000000,135,93
https://www.lamudi.co.id/dijual-rumah-jakarta-pusat-murah-165899758759.html,1600000000,140,64
https://www.lamudi.co.id/rumah-murah-bebas-banjir-jakarta-bogor-bekasi-tang-165881089886.html,200000000,36,66
https://www.lamudi.co.id/siap-huni-lokasi-dekat-tol-brigif-jagakarsa.html,1750000000,130,88
https://www.lamudi.co.id/rumah-cluster-proyek-ke-6-dekat-tol-krl-cibubur-te-165883923493.html,799000000,68,63
https://www.lamudi.co.id/dijual-cepat-rumah-strategis-rawa-kepa-tomang-jaka-165872442945.html,3250000000,140,140
